"scientific_name","species","iucn_category","individuals","superclass","taxon_id","synonym","tol_id","genus","family","order","class","zoonomia","taxon_rank","genome","cell_lines","nspecies","assembly_level","genome_size","illumina","silencer"
"Zenaida graysoni","Zenaida graysoni","EXTINCT IN THE WILD",1,"Birds",NA,"Zenaida graysoni",NA,"Zenaida","Columbidae","Columbiformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax","LEAST CONCERN",6,"Birds","8901","Ardea spec","bNycNyc","Nycticorax","Ardeidae","Pelecaniformes","Aves",FALSE,NA,TRUE,2,10,"Scaffold",1320300000,TRUE,FALSE
"Threskiornis aethiopicus","Threskiornis aethiopicus","LEAST CONCERN",1,"Birds","100858","Tantalus aethiopicus","bThrAet","Threskiornis","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,TRUE,1,10,"Scaffold",1222500000,TRUE,FALSE
"Pelecanus crispus","Pelecanus crispus","VULNERABLE",1,"Birds","36300","Pelecanus crispus","bPelCri","Pelecanus","Pelecanidae","Pelecaniformes","Aves",FALSE,NA,TRUE,1,10,"Scaffold",1290960000,TRUE,FALSE
"Butorides striata","Butorides striata","LEAST CONCERN",2,"Birds",NA,"Ardea striatus",NA,"Butorides","Ardeidae","Pelecaniformes","Aves",FALSE,NA,FALSE,1,10,"No Genome",NA,FALSE,FALSE
"Geronticus eremita","Geronticus eremita","ENDANGERED",6,"Birds",NA,"Geronticus eremita",NA,"Geronticus","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,FALSE,1,10,"No Genome",NA,FALSE,FALSE
"Platalea leucorodia","Platalea leucorodia","LEAST CONCERN",2,"Birds",NA,"Platalea leucorodia",NA,"Platalea","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,FALSE,1,10,"No Genome",NA,FALSE,FALSE
"Plegadis falcinellus","Plegadis falcinellus","LEAST CONCERN",4,"Birds",NA,"Plegadis falcinellus",NA,"Plegadis","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,FALSE,1,10,"No Genome",NA,FALSE,FALSE
"Eudocimus ruber","Eudocimus ruber","LEAST CONCERN",2,"Birds",NA,"Eudocimus ruber",NA,"Eudocimus","Threskiornithidae","Pelecaniformes","Aves",FALSE,NA,FALSE,2,10,"No Genome",NA,FALSE,FALSE
"Guaruba guarouba","Guaruba guarouba","VULNERABLE",1,"Birds","51906","Guaruba guarouba","bGuaGua","Guaruba","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Scaffold",1339860000,TRUE,FALSE
"Eclectus roratus","Eclectus roratus","LEAST CONCERN",1,"Birds","176024","Eclectus roratus","bEclRor","Eclectus","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Scaffold",1555020000,TRUE,FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus","VULNERABLE",2,"Birds","51900","Anodorhynchus hyacinthinus","bAnoHya","Anodorhynchus","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Scaffold",1320300000,TRUE,FALSE
"Aratinga solstitialis","Aratinga solstitialis","ENDANGERED",1,"Birds","176015","Aratinga solstitialis","bAraSol","Aratinga","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Scaffold",1339860000,TRUE,FALSE
"Ara chloropterus","Ara chloropterus","LEAST CONCERN",1,"Birds","176013","Ara chloropterus","bAraChl","Ara","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Scaffold",1447440000,TRUE,FALSE
"Ara ararauna","Ara ararauna","LEAST CONCERN",2,"Birds","9226","Ara ararauna","bAraAra","Ara","Psittacidae","Psittaciformes","Aves",FALSE,NA,TRUE,1,13,"Chromosome",1418100000,TRUE,FALSE
"Trichoglossus moluccanus","Trichoglossus moluccanus","LEAST CONCERN",2,"Birds",NA,"Trichoglossus moluccanus",NA,"Trichoglossus","Psittaculidae","Psittaciformes","Aves",FALSE,NA,FALSE,0,13,"No Genome",NA,FALSE,FALSE
