cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A36,8/24/2020,Aepyceros melampus petersi***,BCN ZOO,QGH17-04591/BARCELONA / 13010,Tissue (ear),"Dissection, in culture + freeze",NA,Isa,Contaminated--> to repeat,NA,NA,NA,NA,NA,NA
A37,8/24/2020,Choeropsis liberiensis (hippopotamus),BCN ZOO,8759764/BARCELONA / 4173,Tissue (skin),"Dissection, in culture + freeze",NA,Isa,on going,P1 (2vials),Pellet DNA,NEGATIVE @P2,done,NA,NA
A37,8/24/2020,Choeropsis liberiensis (hippopotamus),BCN ZOO,8759764/BARCELONA / 4173,Tissue (skin),NA,NA,NA,NA,P2 (2 vials),Pellet RNA,NA,NA,NA,NA
A37,8/24/2020,Choeropsis liberiensis (hippopotamus),BCN ZOO,8759764/BARCELONA / 4173,Tissue (skin),NA,NA,NA,NA,P3 (3 vials),NA,NA,NA,NA,NA
A38,10/9/2020,Ficedula Hypoleuca,BCN ZOO,QGH20-05449-IA,Tissue,dissection and freeze,NA,Armida,NA,biopsia (3 vials),NA,NA,NA,NA,NA
A39,10/9/2020,Lamprotornis superbus,BCN ZOO,MIG12-28643043,Tissue,dissection and freeze,NA,Armida,NA,biopsia (3 vials),NA,NA,NA,NA,NA
A40,10/9/2020,Erinaceus europaeus,BCN ZOO,QGH20-05451-IA,Tissue,dissection and freeze,NA,Armida,"tried one time, contaminated, to repeat",biopsia (3 vials),NA,NA,NA,NA,NA
A41,12/9/2020,Ambistoma mexicanum,BCN ZOO,MIG12-30088849,Tissue,dissection and freeze,NA,Armida,NA,biopsia (1 vials),NA,NA,NA,NA,NA
A42,9/23/2020,Nycticorax Nycticorax 13733,BCN ZOO,QGH20-05437/13733,Tissue,dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A43,9/23/2020,Nycticorax Nycticorax 13728,BCN ZOO,QGH20-05427/BARCELONA / 13724,Tissue,dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A44,9/23/2020,Ammotragus lervia fassini,BCN ZOO,QGH20-05466/13759,Tissue,"Dissection, in culture + freeze",NA,Armida,placenta only red part,biopsia (3vials),NA,NA,NA,NA,NA
A45,9/28/2020,Ammotragus lervia fassini 144,BCN ZOO,QGH20-05470-IA,Tissue,"Dissection, in culture + freeze",NA,Armida,NA,P1 (3 vials),Pellet DNA,NA,done,NA,NA
A45,9/28/2020,Ammotragus lervia fassini 144,BCN ZOO,QGH20-05470-IA,Tissue,NA,NA,NA,NA,P3 (1vial),Pellet RNA,NA,NA,NA,NA
A46,9/28/2020,Ammotragus lervia fassini 143,BCN ZOO,QGH20-05469-IA,Tissue,"Dissection, in culture + freeze",NA,Isa,NA,biopsia (3vials),NA,NA,NA,NA,NA
A46,9/28/2020,Ammotragus lervia fassini 143,BCN ZOO,QGH20-05469-IA,Tissue,NA,NA,NA,NA,P1 (2 vials),Pellet DNA,NA,NA,NA,NA
A46,9/28/2020,Ammotragus lervia fassini 143,BCN ZOO,QGH20-05469-IA,Tissue,NA,NA,NA,NA,P2 (2 vials),NA,NEGATIVE @P2,NA,NA,NA
A46,9/28/2020,Ammotragus lervia fassini 143,BCN ZOO,QGH20-05469-IA,Tissue,NA,NA,NA,NA,P3(2 vials),NA,NA,NA,NA,NA
A47,9/28/2020,Nycticorax Nycticorax 13724,BCN ZOO,QGH20-05427/13724,Tissue,dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A48,9/28/2020,Giraffa camelopardalis angolensis,Rio safari Elche,GGW12-00029,Tissue,"Dissection, in culture + freeze",NA,Armida,placenta post partum,biopsia (3vials),NA,NA,done,NA,NA
A48,9/28/2020,Giraffa camelopardalis angolensis,Rio safari Elche,GGW12-00029,Tissue,NA,NA,NA,NA,P1,NA,NA,NA,NA,NA
A48,9/28/2020,Giraffa camelopardalis angolensis,Rio safari Elche,GGW12-00029,Tissue,NA,NA,NA,NA,P2 (2 vials),NA,NA,NA,NA,NA
A48,9/28/2020,Giraffa camelopardalis angolensis,Rio safari Elche,GGW12-00029,Tissue,NA,NA,NA,NA,P3(4 vials),NA,NA,NA,NA,NA
A48,9/28/2020,Giraffa camelopardalis angolensis,Rio safari Elche,GGW12-00029,Tissue,NA,NA,NA,NA,P6 (1 vial),NA,NA,NA,NA,NA
A49,10/2/2020,Agapurnis nigrigenis,BCN ZOO,GGW12-00029,tissue,dissection and freeze,NA,Armida,NA,biopsia (3 vials),NA,NA,NA,NA,NA
A50,10/2/2020,Mungos mungo,BCN ZOO,GGW12-00029,tissue,dissection and freeze,NA,Armida,Growing @ 37C,biopsia (1 vial),Pellet DNA,NA,done,NA,NA
A50,10/2/2020,Mungos mungo,BCN ZOO,GGW12-00029,tissue,NA,NA,NA,NA,P1 (1 vial),Pellet RNA,NA,NA,NA,NA
A50,10/2/2020,Mungos mungo,BCN ZOO,GGW12-00029,tissue,NA,NA,NA,NA,P2 (4 vials),NA,NA,NA,NA,NA
A50,10/2/2020,Mungos mungo,BCN ZOO,GGW12-00029,tissue,NA,NA,NA,NA,P3 (3vials),NA,NA,NA,NA,NA
A51,11/5/2020,Hamadryas baboon ***,Copenaghen Zoo,GGW12-00029,tongue/ear,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A52,11/5/2020,Hammerhead shark***,Copenaghen Zoo,GGW12-00029,muscle/liver,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A53,11/5/2020,Indian Elephant ***,Copenaghen Zoo,GGW12-00029,muscle/heart,"Dissection, in culture + freeze",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A54,11/5/2020,Red Panda***,Copenaghen Zoo,GGW12-00029,tongue/ovary,"Dissection, in culture + freeze",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A55,11/5/2020,Armadillo***,Marcelle Naturaleza,GGW12-00029,vesícula/riñón/adrenal/estómago/duodeno/colon/pulmón/corazón//páncreas,"Dissection, in culture + freeze",NA,Sira,"Frozen samples in the sampe package, we can not identify the processed tissue. Bacteria contamination in some cultures, pen/strep washes the next days.",NA,NA,NA,NA,NA,NA
A56,11/5/2020,Bisonte Americano***,Marcelle Naturaleza,GGW12-00029,Testículo/Abomaso/ID/Rumen/bazo/vesícular biliar/retículo/riñón/corazón/colon descendente,"Dissection, in culture + freeze",NA,Sira,"BA3 bag.Frozen samples in the sampe package, we can not identify the processed tissue. Bacteria contamination in some cultures, pen/strep washes the next days.",NA,NA,NA,NA,NA,NA
A57,11/5/2020,Puercoespin Africano***,Marcelle Naturaleza,GGW12-00029,corazón/pulmón/tráquea/esófago/intestinodelgado/ciego/hígado/bazo,"Dissection, in culture + freeze",NA,Sira,"PC2 bag.Frozen samples in the sampe package, we can not identify the processed tissue. Bacteria contamination in some cultures, pen/strep washes the next days.",NA,NA,NA,NA,NA,NA
A58,11/5/2020,Mangosta rallada***,Marcelle Naturaleza,GGW12-00029,adrenales/riñón/bazo/pancreas/yeyuno/colón/testículo/estómago/hígao/pulmón/tráquea y esofago/ corazón/tiroides/extremidad delanterar derecha.,"Dissection, in culture + freeze",NA,Sira,"Ref. Number:956000004338502. Male.Frozen samples in the sampe package, we can not identify the processed tissue. Bacteria contamination in some cultures, pen/strep washes the next days.",NA,NA,NA,NA,NA,NA
A59,11/5/2020,Surricata***,Marcelle Naturaleza,GGW12-00029,Hígado/estómago/ID/colon/bazo/riñón/corazón/pulmón/ovario/útero/esófago,"Dissection, in culture + freeze",NA,Sira,"SU1 bag.Ref.Number:981098102623735Frozen samples in the sampe package, we can not identify the processed tissue. Bacteria contamination in some cultures, pen/strep washes the next days.",NA,NA,NA,NA,NA,NA
A60,11/12/2020,Hydrochoerus hydrochaeris,BCN ZOO,MIG12-28055016/10868,piel,"Dissection, in culture + freeze",NA,Armida,Contaminated...trashed 19.11,NA,NA,NA,NA,NA,NA
A61,11/13/2020,Rino blanco,Parque de la Naturaleza Caberceno,MIG12-28055016/10868,blood,PBMc isolation,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A62,11/13/2020,Monchi 1,Parque de la Naturaleza Caberceno,MIG12-28055016/10868,blood,PBMc isolation,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A63,11/13/2020,Monchi 2,Parque de la Naturaleza Caberceno,MIG12-28055016/10868,blood,PBMc isolation,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A64,11/17/2020,Suncus Etruscus,Praga Zoo,MIG12-28055016/10868,legs/heart/chest/head/tail,"Dissection, in culture",NA,Armida,No sample left,NA,NA,NA,NA,NA,NA
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,"Dissection, in culture",NA,Armida,fibros @day 4,P0 (1 vial),Pellet DNA  x2,NA,done,NA,NA
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,NA,NA,NA,NA,P1 (2 vials),Pellet RNA  x2,NA,NA,NA,NA
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,NA,NA,NA,NA,P2 (4 vials),NA,NA,NA,NA,NA
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,NA,NA,NA,NA,P3 (2 vials),NA,NA,NA,NA,NA
A66,12/15/2020,Black crested mangabey,Zoo Safari Elche,27181719/8940,Skin,"Dissection, in culture",NA,Armida,"very small piece, in culture all in 2 wells. One got contaminated the day after, the other one at day 3 ...nothing left.",NA,NA,NA,NA,NA,NA
A67,11/18/2020,Impala,BCN ZOO,QGH19-05174/13498,Ear,"Dissection, in culture",NA,Isa,NA,P1 (2 vials),NA,NA,NA,NA,NA
A67,11/18/2020,Impala,BCN ZOO,QGH19-05174/13498,Ear,NA,NA,NA,NA,P3 (5 vials),NA,NA,NA,NA,NA
A68,1/14/2021,Geronticus Eremita,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue/muscle,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A69,1/14/2021,Geronticus Eremita,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,Dissection- freeze,NA,Isa,NA,biopsia  (piel?)= 3 cryotubes,NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,NA,NA,NA,NA,P2 (2 cryotube),NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,NA,NA,NA,NA,P3 (3 cryotube),NA,NA,NA,NA,NA
A71,1/14/2021,Aldabrachelys gigantea,Zoologico Jerez de la Frontera,QGH19-05103/JEREZ / ALDABRA2,Tissue,Dissection- freeze,NA,Isa,look like there is a contamination,biopsia= 3 cryotubes. No sample left?,NA,NA,NA,NA,NA
