"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Gorilla gorilla","Gorilla gorilla","CRITICALLY ENDANGERED","Mammalia","Gorilla","Hominidae","Primates",TRUE,TRUE,TRUE
"Mandrillus leucophaeus","Mandrillus leucophaeus","VULNERABLE","Mammalia","Mandrillus","Cercopithecidae","Primates",TRUE,TRUE,FALSE
"Hylobates pileatus","Hylobates pileatus","ENDANGERED","Mammalia","Hylobates","Hylobatidae","Primates",FALSE,TRUE,FALSE
"Callithrix geoffroyi","Callithrix geoffroyi","LEAST CONCERN","Mammalia","Callithrix","Cebidae","Primates",FALSE,TRUE,TRUE
"Saguinus oedipus","Saguinus oedipus","CRITICALLY ENDANGERED","Mammalia","Saguinus","Cebidae","Primates",FALSE,TRUE,FALSE
"Miopithecus ogouensis","Miopithecus ogouensis","NEAR THREATENED","Mammalia","Miopithecus","Cercopithecidae","Primates",FALSE,TRUE,FALSE
"Cercocebus torquatus","Cercocebus torquatus","ENDANGERED","Mammalia","Cercocebus","Cercopithecidae","Primates",FALSE,TRUE,FALSE
"Papio cynocephalus","Papio cynocephalus","LEAST CONCERN","Mammalia","Papio","Cercopithecidae","Primates",FALSE,TRUE,TRUE
"Hylobates muelleri","Hylobates muelleri","ENDANGERED","Mammalia","Hylobates","Hylobatidae","Primates",FALSE,TRUE,FALSE
"Macaca sylvanus","Macaca sylvanus","ENDANGERED","Mammalia","Macaca","Cercopithecidae","Primates",FALSE,TRUE,FALSE
"Cebuella pygmaea","Cebuella pygmaea","VULNERABLE","Mammalia","Cebuella","Cebidae","Primates",TRUE,TRUE,FALSE
"Leontopithecus chrysomelas","Leontopithecus chrysomelas","ENDANGERED","Mammalia","Leontopithecus","Cebidae","Primates",FALSE,TRUE,FALSE
"Hylobates lar","Hylobates lar","ENDANGERED","Mammalia","Hylobates","Hylobatidae","Primates",FALSE,TRUE,FALSE
