"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x15","iucn","iPSC","animal_id","individual_id","lines_per_individual","status","superclass"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH21-05797","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A166",NA,NA,NA,NA,"LC",FALSE,"A166","I_A166",1,FALSE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH20-05395","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A280",NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9897","LC",FALSE,"A280","I_A280",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05174/BARCELONA13498","CAPTIVE","M","Fibro","DNA","K","RNA","WGS",NA,"A67","*A67*","ABA23453","BB1567","https://www.iucnredlist.org/species/550/50180828","LC",FALSE,"A67","I_A67",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05221/BARCELONA13544","CAPTIVE","F","Fibro","K",NA,NA,NA,"Aepyceros melampus A129","A129","*A129*",NA,NA,"https://animaldiversity.org/accounts/Aepyceros_melampus/","LC",FALSE,"A129","I_A129",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH21-05739/BARCELONA13905","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A147",NA,NA,NA,"https://costarica.inaturalist.org/taxa/120012-Aepyceros-melampus-petersi","LC",FALSE,"A147","I_A147",1,FALSE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH22-06136/BARCELONA / 14160","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A425","*A425*",NA,NA,NA,"LC",FALSE,"A425","I_A425",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH18-04846/BARCELONA / 13168","CAPTIVE","F","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A583",NA,"ABA20123","BB1588",NA,"LC",FALSE,"A583","I_A583",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH24-06755 / BARCELONA / 14616","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A588",NA,NA,NA,NA,"LC",FALSE,"A588","I_A588",1,TRUE,"Mammalia"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae",NA,"CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A839",NA,NA,NA,NA,"LC",FALSE,"A839","I_A839",1,FALSE,"Mammalia"
"Oryx gazella","Oryx gazella",NA,"Gemsbok","Bovidae","ORGA-02",NA,NA,"Fibro","DNA","K","RNA","WGS","Oryx gazele A78","A78","*A78*","ABA23486","BB1576","https://www.iucnredlist.org/species/15573/166485425","LC",FALSE,"A78","I_A78",1,TRUE,"Mammalia"
"Gazella cuvieri","Gazella cuvieri",NA,"Cuvier's Gazelle","Bovidae",NA,NA,NA,"Fibro","DNA","RNA","RNA-Seq","WGS",NA,"A79","*A79*","ABA20158","BB5624","https://www.iucnredlist.org/species/8967/50186003","VU",FALSE,"A79","I_A79",1,TRUE,"Mammalia"
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","17968259/BARCELONA6321","CAPTIVE","F","Fibro","K","DNA","RNA","WGS","Oryx dammah A169","A169","*A169*","ORGONE_21","BB5589","https://www.iucnredlist.org/species/15568/50191470","EW",TRUE,"A169","I_A169",1,TRUE,"Mammalia"
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","QGH20-05339","CAPTIVE","F","Fibro","K","DNA","RNA","WGS",NA,"A245","*A245*","ABA23231","BB5590","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59534","EW",FALSE,"A245","I_A245",1,TRUE,"Mammalia"
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","QGH20-05394","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A246",NA,NA,NA,"https://animaldiversity.org/accounts/Oryx_dammah/","EW",FALSE,"A246","I_A246",1,FALSE,"Mammalia"
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","SVT16-02905/BARCELONA / 13281","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A777",NA,NA,NA,NA,"EW",FALSE,"A777","I_A777",1,TRUE,"Mammalia"
"Addax nasomaculatus","Addax nasomaculatus",NA,"Addax","Bovidae",NA,NA,NA,"PBMc",NA,NA,NA,NA,NA,"A201","*A201*",NA,NA,"https://www.iucnredlist.org/species/512/50180603","CR",FALSE,"A201","I_A201",1,TRUE,"Mammalia"
"Addax nasomaculatus","Addax nasomaculatus",NA,"Addax","Bovidae","-",NA,NA,"PBMc",NA,NA,NA,NA,NA,"A74","*A74*",NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi","CR",FALSE,"A74","I_A74",1,TRUE,"Mammalia"
"Connochaetes taurinus","Connochaetes taurinus",NA,"Blue Wildebeest","Bovidae","19494545/BARCELONA9345","CAPTIVE","M","Fibro","DNA","K","RNA","WGS","Connochaetes taurinus A182","A182","*A182*","ABA23484","BB1539","https://www.iucnredlist.org/species/5229/163322525","LC",FALSE,"A182","I_A182",1,TRUE,"Mammalia"
"Connochaetes gnou","Connochaetes gnou",NA,"Black Wildebeest","Bovidae","MIG12-29654178/MADRID Z / NCB28","CAPTIVE","M","Fibro","DNA","WGS",NA,NA,NA,"A204","*A204*","ABA23293",NA,"https://www.iucnredlist.org/species/5228/50184962","LC",FALSE,"A204","I_A204",1,TRUE,"Mammalia"
