"taxon_id","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","TOGA","common_name","alternative_name","subspecies","genus","subfamily","family","project"
"481883","Eublepharis macularius","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea","species","Eublepharis macularius","Chromosome",145573841,80105973,NA,"2023-02-10",NA,2405880000,19,2,"insdc_open","toga1/2","Leopard gecko",NA,NA,"Eublepharis",NA,"Eublepharidae","tetrapod"
"865857","Caribicus warreni","Squamata","Lepidosauria","Reptil","VULNERABLE",TRUE,TRUE,FALSE,2,1,1,0,0,"Trachea","none","none","No Genome",NA,NA,NA,NA,NA,1515900000,18,3,NA,"toga1/2",NA,NA,NA,"Caribicus",NA,"Diploglossidae","tetrapod"
"184164","Malpolon monspessulanus","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,2,1,1,0,0,NA,"species","Malpolon monspessulanus","Chromosome",121923953,32743049,NA,"2024-09-25",NA,1476780000,21,3,"insdc_open","toga1/2","Western Montpellier Snake,Montpellier snake",NA,NA,"Malpolon",NA,"Lamprophiidae","tetrapod"
"166086","Hemorrhois hippocrepis","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,NA,"species","Hemorrhois hippocrepis","Chromosome",153613759,54718507,NA,"2024-11-17",NA,1691940000,18,3,"insdc_open","toga1/2","Horseshoe Whip Snake,horseshoe snake",NA,NA,"Hemorrhois",NA,"Colubridae","tetrapod"
"94885","Pantherophis guttatus","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Kidney","species","Pantherophis guttatus","Scaffold",63228677,3031475,NA,"2023-03-31",25.6,2127150000,18,3,"insdc_open","toga1/2",NA,NA,NA,"Pantherophis",NA,"Colubridae","tetrapod"
"500334","Ctenosaura bakeri","Squamata","Lepidosauria","Reptil","CRITICALLY ENDANGERED",TRUE,TRUE,FALSE,1,1,1,0,0,"Kidney","species","Ctenosaura bakeri","Contig",444732,444732,NA,"2023-02-03",NA,2601480000,18,3,"insdc_open","toga1/2",NA,NA,NA,"Ctenosaura",NA,"Iguanidae","tetrapod"
"2025560","Natrix helvetica","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Lung, skin","species","Natrix helvetica","Chromosome",172830377,1870695,NA,"2024-10-05",92.7,2298300000,18,3,"insdc_open","toga1/2","European Grass Snake,Snake, Grass",NA,NA,"Natrix",NA,"Colubridae","tetrapod"
"100823","Natrix natrix","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"kidney/liver/skin","species","Natrix natrix","Scaffold",1579101,1528028,NA,"2023-04-28",NA,2645490000,18,3,"insdc_open","toga1/2","Grass Snake,European grass snake",NA,NA,"Natrix",NA,"Colubridae","tetrapod"
"91907","Chamaeleo chamaeleon","Squamata","Lepidosauria","Reptil","LEAST CONCERN",FALSE,TRUE,FALSE,1,1,1,0,0,"Tissue","genus","Chamaeleo calyptratus","Chromosome",278718720,14096519,NA,"2024-10-24",NA,2934000000,12,3,"insdc_open","toga1/2",NA,NA,NA,"Chamaeleo",NA,"Chamaeleonidae","illumina"
"52167","Uromastyx acanthinura","Squamata","Lepidosauria","Reptil","NEAR THREATENED",FALSE,TRUE,FALSE,1,0,0,0,0,"Tissue","family","Pogona vitticeps","Chromosome",274873533,202516942,NA,"2025-01-31",92.5,2141820000,17,3,"insdc_open","toga1/2","Dabb spiny-tailed lizard,Black spiny-tailed lizard",NA,NA,"Uromastyx",NA,"Agamidae","tetrapod"
