"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Panthera pardus kotiya","VULNERABLE","Mammalia","Mammalia","Panthera",2,2,"Tissue","Scaffold",126810544,2767740000,"species",FALSE
"Crocuta crocuta","LEAST CONCERN","Mammalia","Mammalia","Crocuta",2,2,"Tissue","Scaffold",7236831,2823975000,"species",FALSE
"Zalophus californianus","LEAST CONCERN","Mammalia","Mammalia","Zalophus",3,2,"Tissue","Chromosome",147124152,3080700000,"species",FALSE
"Panthera pardus saxicolor","VULNERABLE","Mammalia","Mammalia","Panthera",1,1,"Tissue","Scaffold",126810544,2767740000,"species",FALSE
"Mustela lutreola novikovi","CRITICALLY ENDANGERED","Mammalia","Mammalia","Mustela",1,1,"Tissue","Chromosome",154078643,2880210000,"species",FALSE
"Panthera tigris","ENDANGERED","Mammalia","Mammalia","Panthera",2,2,"Tissue (ovary/skin)","Chromosome",146942463,2650380000,"species",FALSE
"Pteronura brasiliensis","ENDANGERED","Mammalia","Mammalia","Pteronura",1,1,"Tissue (uter/skin)","Scaffold",119023,2880210000,"species",FALSE
"Panthera tigris sumatrae","ENDANGERED","Mammalia","Mammalia","Panthera",2,1,"Skin","Chromosome",146942463,2650380000,"species",FALSE
"Leopardus pardalis","LEAST CONCERN","Mammalia","Mammalia","Leopardus",1,1,NA,"Chromosome",152606360,2909550000,"genus",FALSE
"Ailurus fulgens","ENDANGERED","Mammalia","Mammalia","Ailurus",7,5,"Tissue","Scaffold",2983736,2833755000,"genus",TRUE
"Ateles hybridus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Ateles",8,6,"Tissue/placenta","Scaffold",50515269,3166275000,"species",TRUE
"Lemur catta","ENDANGERED","Mammalia","Mammalia","Lemur",9,6,"Tissue (skin)","Chromosome",102162704,3207840000,"species",TRUE
"Callithrix geoffroyi","LEAST CONCERN","Mammalia","Mammalia","Callithrix",1,1,"Tissue","Scaffold",13434,3354540000,"species",FALSE
"Saguinus imperator subgrisescens","LEAST CONCERN","Mammalia","Mammalia","Saguinus",3,4,"Tissue","Scaffold",65636,3378990000,"species",FALSE
"Saguinus oedipus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Saguinus",3,3,NA,"Chromosome",148490209,3378990000,"species",FALSE
"Pan troglodytes troglodytes","ENDANGERED","Mammalia","Mammalia","Pan",9,10,"Tissue/Blood","Chromosome",146288486,3613710000,"species",TRUE
"Cercocebus lunulatus","ENDANGERED","Mammalia","Mammalia","Cercocebus",6,8,NA,"Scaffold",36500,4029360000,"species",TRUE
"Pongo pygmaeus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Pongo",3,3,"Cell culture / Placenta/ombelical Cordon","Chromosome",143261986,3579480000,"species",FALSE
"Mandrillus sphinx","VULNERABLE","Mammalia","Mammalia","Mandrillus",2,3,"Tissue","Contig",20999372,3423000000,"species",FALSE
"Miopithecus ogouensis","NEAR THREATENED","Mammalia","Mammalia","Miopithecus",2,1,"Tissue","Scaffold",39714,3589260000,"species",FALSE
"Eulemur fulvus","VULNERABLE","Mammalia","Mammalia","Eulemur",2,2,"Tissue","Scaffold",28225,3281190000,"species",FALSE
"Cercopithecus neglectus","LEAST CONCERN","Mammalia","Mammalia","Cercopithecus",2,2,"Tissue","Scaffold",44019,4762860000,"species",FALSE
"Cercocebus torquatus","ENDANGERED","Mammalia","Mammalia","Cercocebus",2,2,"Tissue","Scaffold",37166,4792200000,"species",FALSE
"Gorilla gorilla","CRITICALLY ENDANGERED","Mammalia","Mammalia","Gorilla",4,3,"Blood/Tissue","Contig",42091,3491460000,"species",TRUE
"Papio cynocephalus","LEAST CONCERN","Mammalia","Mammalia","Papio",3,3,"Tissue","Scaffold",30627,3457230000,"species",FALSE
"Hylobates muelleri","ENDANGERED","Mammalia","Mammalia","Hylobates",1,1,"Tissue","Scaffold",28009,3246960000,"species",FALSE
"Mandrillus leucophaeus","VULNERABLE","Mammalia","Mammalia","Mandrillus",3,3,"Tissue","Scaffold",3186748,3423000000,"species",FALSE
"Hylobates pileatus","ENDANGERED","Mammalia","Mammalia","Hylobates",1,1,"Tissue","Chromosome",131825309,3168720000,"species",FALSE
"Cebuella pygmaea","VULNERABLE","Mammalia","Mammalia","Cebuella",5,5,"Tissue","Scaffold",35755,3403440000,"species",TRUE
"Leontopithecus chrysomelas","ENDANGERED","Mammalia","Mammalia","Leontopithecus",1,1,"Tissue","Scaffold",30751,3378990000,"species",FALSE
"Callimico goeldii","VULNERABLE","Mammalia","Mammalia","Callimico",2,2,"Tissue (ear)","Scaffold",25261,3378990000,"species",FALSE
"Saguinus midas","LEAST CONCERN","Mammalia","Mammalia","Saguinus",2,2,"Skin","Chromosome",143273090,3378990000,"species",FALSE
"Varecia variegata","CRITICALLY ENDANGERED","Mammalia","Mammalia","Varecia",2,1,"Skin","Chromosome",128811464,3193170000,"species",FALSE
"Cercopithecus nictitans martini","ENDANGERED","Mammalia","Mammalia","Cercopithecus",1,1,"skin/ear/traquea","Scaffold",31132,4303200000,"species",FALSE
"Macaca sylvanus","ENDANGERED","Mammalia","Mammalia","Macaca",2,2,"Tissue","Complete Genome",162126771,3423000000,"genus",FALSE
"Hylobates lar","ENDANGERED","Mammalia","Mammalia","Hylobates",2,1,"Tissue","Chromosome",131825309,3017130000,"genus",FALSE
"Nanger dama mhorr","CRITICALLY ENDANGERED","Mammalia","Mammalia","Nanger",20,10,"blood/placenta/ombelical cord","Scaffold",37125998,3403440000,"species",TRUE
"Aepyceros melampus","LEAST CONCERN","Mammalia","Mammalia","Aepyceros",8,6,"Tissue (ear)","Scaffold",344542,4586820000,"species",TRUE
"Hexaprotodon liberiensis","ENDANGERED","Mammalia","Mammalia","Hexaprotodon",1,1,"Tissue (skin)","Chromosome",142594368,3041580000,"species",FALSE
"Ammotragus lervia fassini","VULNERABLE","Mammalia","Mammalia","Ammotragus",7,5,"Tissue","Scaffold",1301762,3195615000,"species",TRUE
"Oryx gazella","LEAST CONCERN","Mammalia","Mammalia","Oryx",1,1,"Tissue","Scaffold",1579191,3892440000,"species",FALSE
"Giraffa camelopardalis","VULNERABLE","Mammalia","Mammalia","Giraffa",2,2,NA,"Scaffold",3153258,2709060000,"species",FALSE
"Lama guanicoe","LEAST CONCERN","Mammalia","Mammalia","Lama",4,3,NA,"Scaffold",14786206,3139380000,"species",TRUE
"Connochaetes taurinus","LEAST CONCERN","Mammalia","Mammalia","Connochaetes",1,1,NA,"Scaffold",366224,3853320000,"species",FALSE
"Tragelaphus spekii","LEAST CONCERN","Mammalia","Mammalia","Tragelaphus",2,1,"Tissue (placenta/ombelical cordon)","Scaffold",46427,3853320000,"species",FALSE
"Bison bonasus","NEAR THREATENED","Mammalia","Mammalia","Bison",3,2,"Blood/Tissue","Scaffold",104743180,4792200000,"species",FALSE
"Camelus bactrianus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Camelus",2,2,"Tissue","Chromosome",79915242,2577030000,"species",FALSE
"Tragelaphus eurycerus","NEAR THREATENED","Mammalia","Mammalia","Tragelaphus",2,1,"Tissue","Contig",21206903,3853320000,"species",FALSE
"Sus scrofa","LEAST CONCERN","Mammalia","Mammalia","Sus",2,2,"Tissue","Chromosome",88231837,2885100000,"species",FALSE
"Oryx dammah","EXTINCT IN THE WILD","Mammalia","Mammalia","Oryx",3,2,"Tissue","Scaffold",100398400,3892440000,"species",FALSE
"Rangifer tarandus","VULNERABLE","Mammalia","Mammalia","Rangifer",4,4,"Tissue/ovaries","Scaffold",69738971,3334980000,"species",TRUE
"Capra hircus","NA","Mammalia","Mammalia","Capra",4,2,"Tissue","Chromosome",87277232,3168720000,"species",TRUE
"Elaphurus davidianus","EXTINCT IN THE WILD","Mammalia","Mammalia","Elaphurus",5,5,"Tissue (ear)","Scaffold",3039716,3168720000,"species",TRUE
"Dama dama","LEAST CONCERN","Mammalia","Mammalia","Dama",2,2,"Tissue","Chromosome",77069784,3168720000,"species",FALSE
"Beatragus hunteri","CRITICALLY ENDANGERED","Mammalia","Mammalia","Beatragus",1,1,"Tissue","Scaffold",69303,3853320000,"species",FALSE
"Bos grunniens","VULNERABLE","Mammalia","Mammalia","Bos",2,2,"Tissue","Chromosome",114386978,3569700000,"species",FALSE
"Ovis aries musimon","NA","Mammalia","Mammalia","Ovis",3,3,"Tissue","Chromosome",107697089,3227400000,"species",FALSE
"Bison bison","NEAR THREATENED","Mammalia","Mammalia","Bison",3,1,"Tissue","Scaffold",6873254,4792200000,"species",FALSE
"Hippopotamus amphibius","VULNERABLE","Mammalia","Mammalia","Hippopotamus",2,2,"Tissue","Chromosome",141669128,3041580000,"species",FALSE
"Muntiacus muntjak","LEAST CONCERN","Mammalia","Mammalia","Muntiacus",1,1,"Tissue (skin)","Chromosome",682452208,3080700000,"species",FALSE
"Tursiops truncatus","LEAST CONCERN","Mammalia","Mammalia","Tursiops",1,1,"Tissue","Chromosome",108430135,3080700000,"species",FALSE
"Delphinapterus leucas","LEAST CONCERN","Mammalia","Mammalia","Delphinapterus",1,1,"Tissue","Scaffold",31183418,3217620000,"species",FALSE
"Megaptera novaeangliae","LEAST CONCERN","Mammalia","Mammalia","Megaptera",1,1,"Tissue","Chromosome",107416641,2865540000,"species",FALSE
"Delphinus delphis","LEAST CONCERN","Mammalia","Mammalia","Delphinus",1,1,"Tissue","Chromosome",107080983,3080700000,"species",FALSE
"Muntiacus reevesi","LEAST CONCERN","Mammalia","Mammalia","Muntiacus",2,2,NA,"Chromosome",114544513,2924220000,"species",FALSE
"Phacochoerus africanus","LEAST CONCERN","Mammalia","Mammalia","Phacochoerus",5,4,"Tissue","Chromosome",141887063,2885100000,"species",TRUE
"Connochaetes gnou","LEAST CONCERN","Mammalia","Mammalia","Connochaetes",1,1,"Tissue","Scaffold",366224,3853320000,"genus",FALSE
"Axis axis","LEAST CONCERN","Mammalia","Mammalia","Axis",1,2,"Tissue","Scaffold",20764858,3168720000,"genus",FALSE
"Potamochoerus porcus","LEAST CONCERN","Mammalia","Mammalia","Potamochoerus",2,2,"Tissue","Chromosome",141887063,2885100000,"family",FALSE
"Capra pyrenaica hispanica","LEAST CONCERN","Mammalia","Mammalia","Capra",1,1,"Tissue","Chromosome",91317560,3163830000,"genus",FALSE
