"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x14","iucn","superclass","data","animal_id","individual_id","lines_per_individual","iPSC","status"
"Anguis fragilis","Anguis fragilis",NA,"Slow Worm","Anguidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A820",NA,NA,NA,"https://www.iucnredlist.org/species/47113126/204902180","LC","Reptiles",NA,"A820","I_A820",1,FALSE,FALSE
"Anguis fragilis","Anguis fragilis",NA,"Slow Worm","Anguidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A821",NA,NA,NA,NA,"LC","Reptiles",NA,"A821","I_A821",1,FALSE,FALSE
"Anguis fragilis","Anguis fragilis",NA,"Slow Worm","Anguidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A802",NA,NA,NA,NA,"LC","Reptiles",NA,"A802","I_A802",1,FALSE,FALSE
"Hemidactylus turcicus","Hemidactylus turcicus",NA,"Turkish Gecko","Gekkonidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A803",NA,NA,NA,"https://www.iucnredlist.org/species/157261/5063993","LC","Reptiles",NA,"A803","I_A803",1,FALSE,FALSE
"Paleosuchus palpebrosus","Paleosuchus palpebrosus",NA,"Dwarf caiman","Alligatoridae","MIG12-29661824/BARCELONA / 11356","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A264",NA,NA,NA,"https://www.iucnredlist.org/species/46587/3009946","LC","Reptiles",NA,"A264","I_A264",1,FALSE,FALSE
"Crocodylus rhombifer","Crocodylus rhombifer",NA,"Cuban Crocodile","Crocodylidae","MIG12-29661824/ BARCELONA / 5277","UNKNOWN","F","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A361","*A361*","ORGONE_24/ABA23924","BB5614",NA,"CR","Reptiles",NA,"A361","I_A361",1,FALSE,TRUE
"Osteolaemus tetraspis","Osteolaemus tetraspis",NA,"Dwarf crocodile","Crocodylidae","17965110/BARCELONA / 595","WILD","F","Fibro","DNA",NA,NA,NA,NA,"A428","*A428*",NA,NA,"https://www.iucnredlist.org/species/15635/4931429","VU","Reptiles",NA,"A428","I_A428",1,FALSE,TRUE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH16-04022","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A22",NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22711001/132091764","A22","I_A22",1,FALSE,FALSE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","enbryo's wings","CAPTIVE",NA,"Fibro","DNA","RNA","RNA-Seq","WGS",NA,"A303",NA,"ABA23286","BB5604",NA,"LC","Birds","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi","A303","I_A303",1,FALSE,TRUE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH20-05382","CAPTIVE","F","Fibro","DNA","RNA","RNA-Seq",NA,NA,"A312","*A312*",NA,"BB1541",NA,"LC","Birds","https://www.gbif.org/species/2489124","A312","I_A312",1,FALSE,TRUE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","MIG12-29239572 /BARCELONA / 10422","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A559",NA,NA,NA,NA,"LC","Birds",NA,"A559","I_A559",1,FALSE,FALSE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH16-04177/BARCELONA / 12794","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A658",NA,NA,NA,NA,"LC","Birds",NA,"A658","I_A658",1,FALSE,TRUE
"Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH25-07637 / BARCELONA / 15442","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A707",NA,NA,NA,NA,"LC","Birds",NA,"A707","I_A707",1,FALSE,FALSE
"Ficedula hypoleuca","Ficedula hypoleuca",NA,"European pied flycatcher","Muscicapidae","QGH20-05449-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A38",NA,"ABA23932",NA,NA,"LC","Birds","https://www.gbif.org/search?q=Ficedula%20Hypoleuca","A38","I_A38",1,FALSE,FALSE
