"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","wgs","rna_seq","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status","cnag_id","species_short","link","dna","karyo","rna","seq","n_samples","date","animal_species","species_360_local_id","coming_from_clean"
"Hyla meridionalis","Hyla meridionalis",NA,"Stripeless Treefrog","Hylidae","BC001129","WILD","U","Fibro",NA,"Hyl_Mer_1",NA,NA,"LC","Amphibia","A668","I_A668",1,FALSE,TRUE,NA,"Hyl_Mer","https://www.iucnredlist.org/species/173109790/89701354",TRUE,FALSE,FALSE,FALSE,1,"17/3/2025","Hyla meridionalis","BC001129","Museu de Ciencies Naturlas Barcelona"
"Hyla meridionalis","Hyla meridionalis",NA,"Stripeless Treefrog","Hylidae","BC00912","WILD","U","Primary",NA,"Hyl_Mer_2",NA,NA,"LC","Amphibia","A669","I_A669",1,FALSE,FALSE,NA,"Hyl_Mer",NA,FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Hyla meridionalis","BC00912","Museu de Ciencies Naturlas Barcelona"
"Pelodytes punctatus","Pelodytes punctatus",NA,"Pelodytes punctatus","Pelodytidae","BC01076","WILD","U","Primary",NA,"Pel_Pun_1",NA,NA,"LC","Amphibia","A670","I_A670",1,FALSE,FALSE,NA,"Pel_Pun","https://www.iucnredlist.org/species/173111497/218083218",FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Pelodytes punctatus","BC01076","Museu de Ciencies Naturlas Barcelona"
"Pelophylax perezi","Pelophylax perezi",NA,"Perez's Frog","Ranidae","BC00888","WILD","U","Primary",NA,"Pel_Per_1",NA,NA,"LC","Amphibia","A671","I_A671",1,FALSE,FALSE,NA,"Pel_Per","https://www.iucnredlist.org/species/58692/227226945",FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Pelophylax perezi","BC00888","Museu de Ciencies Naturlas Barcelona"
"Pelophylax perezi","Pelophylax perezi",NA,"Perez's Frog","Ranidae","QGH25-07608-IA","CAPTIVE","F","Fibro",NA,"Pel_Per_2",NA,NA,"LC","Amphibia","A699","I_A699",1,FALSE,TRUE,NA,"Pel_Per",NA,FALSE,FALSE,FALSE,FALSE,1,"13/6/2025","Pelophylax perezi","QGH25-07608-IA","Zoo Barcelona"
"Pelophylax perezi","Pelophylax perezi",NA,"Perez's Frog","Ranidae","QGH25-07664-IA","WILD","U","Primary",NA,"Pel_Per_3",NA,NA,"LC","Amphibia","A800","I_A800",1,FALSE,FALSE,NA,"Pel_Per",NA,FALSE,FALSE,FALSE,FALSE,1,"16/4/2026","Pelophylax perezi","QGH25-07664-IA","Zoo Barcelona"
"Leptodactylus fallax","Leptodactylus fallax",NA,"Mountain Chicken","Leptodactylidae","25340557 / BARCELONA / 12880","CAPTIVE","M","Fibro",NA,"Lep_Fal_1",NA,NA,"CR","Amphibia","A700","I_A700",1,FALSE,TRUE,NA,"Lep_Fal",NA,FALSE,FALSE,FALSE,FALSE,1,"18/6/2025","Leptodactylus fallax","25340557 / BARCELONA / 12880","Zoo Barcelona"
"Epipedobates tricolor","Epipedobates tricolor",NA,"Phantasmal Poison Frog","Dendrobatidae","-","CAPTIVE","U","Primary",NA,"Epi_Tri_1",NA,NA,"VU","Amphibia","A842","I_A842",1,FALSE,FALSE,NA,"Epi_Tri","https://www.iucnredlist.org/species/55239/98647137",FALSE,FALSE,FALSE,FALSE,1,"9/6/2026","Epipedobates tricolor","VDY24-01291/ MADRID Z / RHD2","Bioparc València"
"Aldabrachelys gigantea","Aldabrachelys gigantea",NA,"Aldabra giant tortoise","Testudinidae","QGH19-05103/JEREZ / ALDABRA3","WILD","U","Primary",NA,"Ald_Gig_1",NA,NA,"VU","Reptil","A71","I_A71",1,FALSE,FALSE,NA,"Ald_Gig","https://www.iucnredlist.org/species/9010/12949962",FALSE,FALSE,FALSE,FALSE,1,"14/01/21","Aldabrachelys gigantea","QGH19-05103/JEREZ / ALDABRA2","Zoo Jerez"
"Aldabrachelys gigantea","Aldabrachelys gigantea",NA,"Aldabra giant tortoise","Testudinidae","QGH12-00157/BARCELONA / 11586","WILD","U","Fibro",NA,"Ald_Gig_2","ABA20105","BB5630","VU","Reptil","A581","I_A581",1,FALSE,TRUE,NA,"Ald_Gig","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167804",TRUE,FALSE,TRUE,FALSE,1,"23/8/2024","Geochelone gigantea","QGH19-05088 / BARCELONA / 13414","Zoo Barcelona"
