"animal_ID","sample_id","species","superclass","DNA_ex","RNA_ex","pellet","CT_total","n_passages","reps","next_step"
"A174","Cer_Neg_1","Cercopithecus neglectus","Mammalia",FALSE,FALSE,1,4,2,"techrep1","thaw_line"
"A274","Pap_Cyn_1","Papio cynocephalus","Mammalia",FALSE,FALSE,0,3,2,"techrep1","thaw_line"
"A300","Mac_Syl_1","Macaca sylvanus","Mammalia",TRUE,FALSE,0,4,1,"techrep1","thaw_line"
"A298","Hyl_Mue_1","Hylobates muelleri","Mammalia",TRUE,FALSE,1,3,2,"techrep1","thaw_line"
"A379","Hyl_Pil_1","Hylobates pileatus","Mammalia",TRUE,FALSE,1,4,2,"techrep1","thaw_line"
"A467","Hyl_Lar_2","Hylobates lar","Mammalia",TRUE,FALSE,0,2,1,"techrep1","thaw_line"
"A194","Pte_Lyl_1","Pteropus lylei","Mammalia",TRUE,FALSE,0,7,5,"biorep","from_cryo"
"A279","Pte_Lyl_2","Pteropus lylei","Mammalia",FALSE,FALSE,0,3,2,"biorep","thaw_line"
"A419","Pte_Lyl_3","Pteropus lylei","Mammalia",TRUE,FALSE,0,3,1,"biorep","thaw_line"
"A342","Myr_Tri_1","Myrmecophaga tridactyla","Mammalia",FALSE,FALSE,1,2,2,"techrep1","thaw_line"
"A353","Pro_Cap_1","Procavia capensis","Mammalia",FALSE,FALSE,1,4,2,"biorep","thaw_line"
"A469","Pro_Cap_2","Procavia capensis","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
