"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x14","iucn","iPSC","status","superclass"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH17-04511/barcelona/12963","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A398","A398",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae",NA,NA,NA,"Fibro","DNA","K",NA,NA,"Nanger Dama Mhorr A9","A9","A9",NA,NA,"*A9*",NA,NA,"CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29320182/ BARCELONA / 11263","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A447","A447",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","ALM20-00023/: ELCHE SAF / 1789","CAPTIVE","F","Fibro","DNA","RNA",NA,NA,NA,"A468","A468",NA,NA,NA,NA,NA,"CR",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435084/BARCELONA11047","CAPTIVE","M","Fibro","K",NA,NA,NA,"Gazella Dorcas A18","A18","A18",NA,NA,"*A18*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","WKP15-00424/BARCELONA13589","CAPTIVE","M","Fibro","K",NA,NA,NA,"Gazella Dorcas A148","A148","A148",NA,NA,"*A148*",NA,"https://www.iucnredlist.org/species/8969/50186334","VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","WKP19-01761/MADRID Z / GD142","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37751","VU",FALSE,FALSE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","FRW18-00814/JEREZ / GDO333","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A96","A96",NA,NA,NA,NA,"https://animaldiversity.org/accounts/Gazella_dorcas/","VU",FALSE,FALSE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH18-04728/BARCELONA13096","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE,FALSE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH16-04140","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A283","A283",NA,NA,"*A283*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435079","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A21","A21",NA,NA,"*A21*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH18-04728/BARCELONA / 13096","CAPTIVE","M","Fibro","K",NA,NA,NA,"Gazella Dorcas A167","A167","A167",NA,NA,"*A167*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH2306333-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A456","A456",NA,NA,NA,NA,NA,"VU",FALSE,FALSE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH23-06339/BARCELONA / 14280","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A465","A465",NA,NA,NA,NA,NA,"VU",FALSE,TRUE,"Mammalia"
"2.0","Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A523","A523",NA,NA,NA,NA,NA,"VU",FALSE,FALSE,"Mammalia"
"3.0","Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH21-05797","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A166","A166",NA,NA,NA,NA,NA,"LC",FALSE,FALSE,"Mammalia"
"3.0","Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH20-05395","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A280","A280",NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9897","LC",FALSE,TRUE,"Mammalia"
"3.0","Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05174/BARCELONA13498","CAPTIVE","M","Fibro","K",NA,NA,NA,NA,"A67","A67",NA,NA,"*A67*",NA,"https://www.iucnredlist.org/species/550/50180828","LC",FALSE,TRUE,"Mammalia"
"3.0","Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05221/BARCELONA13544","CAPTIVE","F","Fibro",NA,NA,NA,NA,"Aepyceros melampus A129","A129","A129",NA,NA,"*A129*",NA,"https://animaldiversity.org/accounts/Aepyceros_melampus/","LC",FALSE,TRUE,"Mammalia"
"3.0","Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH21-05739/BARCELONA13905","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A147","A147",NA,NA,NA,NA,"https://costarica.inaturalist.org/taxa/120012-Aepyceros-melampus-petersi","LC",FALSE,FALSE,"Mammalia"
