"taxon_id","scientific_name","common_name","alternative_name","genus","subfamily","family","order","class","iucn_category","genome","annotation","zoonomia","samples","sex","cell_line","i_psc","sample","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession"
"9694","Panthera tigris","Tiger,[""Tiger""]",NA,"Panthera",NA,"Felidae","Carnivora","Mammalia","ENDANGERED",TRUE,TRUE,FALSE,2,"F/M","Fibro",NA,"Tissue (ovary/skin)","Chromosome",146942463,74391967,33598,"2021-05-13",NA,2650380000,19,2,"insdc_open","102.0",NA,NA
"9672","Pteronura brasiliensis","Giant otter,[""giant otter""]",NA,"Pteronura",NA,"Mustelidae","Carnivora","Mammalia","ENDANGERED",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue (uter/skin)","Scaffold",119023,90879,NA,"2019-01-15",82.7,2880210000,19,2,"published",NA,NA,NA
"37032","Suricata suricatta","Meerkat,[""meerkat""]",NA,"Suricata",NA,"Herpestidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,4,"F/F/M/-","Fibro",NA,"Tissue","Chromosome",141453419,75409,35499,"2019-07-03",NA,2738400000,18,2,"published","100.0","meerkat_22Aug2017_6uvM2_HiC","GCA_006229205.1"
"9642","Ursus thibetanus","Asiatic Black Bear,[""Asiatic black bear""]",NA,"Ursus",NA,"Ursidae","Carnivora","Mammalia","VULNERABLE",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue","Scaffold",26803000,145966,NA,"2023-04-03",NA,2689500000,37,2,"insdc_open",NA,NA,NA
"9704","Zalophus californianus","California sea lion,[""California sea lion""]","Zalophus californianos","Zalophus",NA,"Otariidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue","Chromosome",147124152,32626160,32543,"2020-07-14",NA,3080700000,18,2,"published","101.0","mZalCal1.pri","GCA_009762305.1"
"8790","Dromaius novaehollandiae","Common Emu,[""Emu""]",NA,"Dromaius",NA,"Dromaiidae","Casuariiformes","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,"U","No cell line",NA,"Tissue","Scaffold",3305683,172131,18898,"2018-07-26",96.8,1555020000,40,2,"insdc_open","100.0","droNov1","GCA_003342905.1"
"8296","Ambystoma mexicanum","Axolotl,[""Mexican axolotl""]",NA,"Ambystoma",NA,"Ambystomatidae","Caudata","Amphibia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,1,NA,"No cell line",NA,"Tissue","Chromosome",1205706733,217996,NA,"2021-04-01",NA,34719000000,14,3,"insdc_open",NA,NA,NA
"342570","Calotriton arnoldi","Montseny Brook newt,[""Montseny brook newt""]",NA,"Calotriton","Pleurodelinae","Salamandridae","Caudata","Amphibia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,5,NA,"No cell line",NA,"tongue/head/skin/testicles/frozen tail/trachea",NA,NA,NA,NA,NA,NA,27012360000,12,3,"in_progress",NA,NA,NA
"8319","Pleurodeles waltl","Sharp-ribbed Salamander,[""Spanish ribbed newt""]",NA,"Pleurodeles",NA,"Salamandridae","Caudata","Amphibia","NEAR THREATENED",TRUE,FALSE,FALSE,2,"U","No cell line",NA,"larvae/Trachea","Chromosome",1237754594,45590032,13359,"2022-12-05",NA,20929200000,12,3,"insdc_open",NA,NA,NA
"9739","Tursiops truncatus","Bottlenose dolphin,[""Bottlenose dolphin""]",NA,"Tursiops",NA,"Delphinidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue","Chromosome",108430135,9729386,28904,"2020-03-27",89,3080700000,22,2,"insdc_open","102.0","turTru1","-"
"9749","Delphinapterus leucas","Beluga Whale,[""Beluga""]",NA,"Delphinapterus",NA,"Monodontidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"M","Fibro",NA,"Tissue","Scaffold",31183418,196689,27561,"2019-08-29",90.7,3217620000,22,2,"insdc_open","101.0","ASM228892v3","GCA_002288925.3"
"9728","Delphinus delphis","Common Dolphin,[""Common dolphin""]",NA,"Delphinus",NA,"Delphinidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Tissue","Chromosome",108933991,54231611,NA,"2023-05-24",NA,3080700000,22,2,"insdc_open",NA,NA,NA
"9773","Megaptera novaeangliae","Humpback Whale,[""Humpback whale""]",NA,"Megaptera",NA,"Balaenopteridae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"U","Fibro",NA,"Tissue","Scaffold",9138802,12321,NA,"2019-03-06",NA,2865540000,22,2,"insdc_open",NA,NA,NA
"9886","Muntiacus reevesi","Muntiacus reevesi,[""Reeve's Muntjac""]",NA,"Muntiacus",NA,"Cervidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"F","Fibro",NA,NA,"Chromosome",113316579,18600000,26044,"2021-10-05",NA,2924220000,23,2,"insdc_open",NA,NA,NA
"54508","Jacana jacana","Wattled jacana,[""wattled jacana""]",NA,"Jacana",NA,"Jacanidae","Charadriiformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Trachea","Scaffold",126631,31221,14651,"2020-07-10",NA,1418100000,41,2,"insdc_open",NA,NA,NA
"9417","Artibeus jamaicensis","Jamaican Fruit-eating Bat,[""Jamaican fruit-eating bat""]",NA,"Artibeus","Stenodermatinae","Phyllostomidae","Chiroptera","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"-","No cell line",NA,"Tissue","Scaffold",22092642,22092642,29413,"2021-12-20",NA,2591700000,15,2,"published","GCF_021234435.1-RS_2023_03",NA,NA
"166054","Pteropus lylei","Lyle's flying fox,[""Lyles flying fox""]","Pteropus liley","Pteropus",NA,"Pteropodidae","Chiroptera","Mammalia","VULNERABLE",TRUE,FALSE,FALSE,3,"-/F/F","Fibro",NA,"Tissue/ear",NA,NA,NA,NA,NA,NA,2454780000,19,2,NA,NA,NA,NA
"8928","Ciconia ciconia","White stork,[""White Stork""]",NA,"Ciconia",NA,"Ciconiidae","Ciconiiformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,3,"U/U/U","Fibro",NA,"Tissue","Scaffold",84601090,31371,NA,"2023-01-06",NA,1545240000,34,2,"insdc_open",NA,NA,NA
"335483","Eudocimus ruber",NA,NA,"Eudocimus",NA,"Threskiornithidae","Pelecaniformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,2,"M/M","Fibro",NA,"Tissue/Trachea",NA,NA,NA,NA,"2023-04-03",NA,1222500000,34,2,"in_progress",NA,NA,NA
"100822","Geronticus eremita","Waldrapp ibis,[""northern bald ibis""]",NA,"Geronticus",NA,"Threskiornithidae","Pelecaniformes","Birds","ENDANGERED",TRUE,FALSE,FALSE,6,"U/M/U/U/F/F","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,1222500000,34,2,NA,NA,NA,NA
