"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"9.0","Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","MIG12-28921127/ BARCELONA / 12368","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A380","A380",NA,NA,NA,NA,NA,"CR","Birds","https://www.gbif.org/species/7533598",FALSE,FALSE
"9.0","Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","QGH22-06108/Barcelona/14141","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A25","A25",NA,NA,NA,NA,NA,"CR","Birds",NA,FALSE,FALSE
"9.0","Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","QGH22-06108/ BARCELONA / 14141","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A486","A486",NA,NA,NA,NA,NA,"CR","Birds",NA,FALSE,FALSE
"10.0","Guaruba guarouba","Guaruba guarouba",NA,"Golden conure","Psittaciformes","MIG12-28325141","WILD","M","Fibro",NA,NA,NA,NA,NA,"A248","A248",NA,NA,"*A248*",NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22724703/132029835",TRUE,FALSE
"11.0","Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","WKP17-01371","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A273","A273",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"11.0","Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A410","A410",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"12.0","Eclectus roratus","Eclectus roratus",NA,"Eclectus parrot","Psittacidae","WKP18-01463","-","M","Fibro","DNA",NA,NA,NA,NA,"A281","A281",NA,NA,"*A281*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"13.0","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06092-IA","-","M","Fibro",NA,NA,NA,NA,NA,"A329","A329",NA,NA,NA,NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22685516/93077457",TRUE,FALSE
"13.0","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06100-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A337","A337",NA,NA,"*A337*",NA,NA,"VU","Birds",NA,FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","MIG12-29591016","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A49","A49",NA,NA,NA,NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22685360/93069915",FALSE,FALSE
