"taxon_id","scientific_name","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession","common_name","alternative_name","subspecies","genus","subfamily","family"
"9833","Hippopotamus amphibius","Hippopotamus amphibius","Artiodactyla","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Hippopotamus amphibius","Chromosome",141669128,49478000,NA,"2023-04-03",95.2,3041580000,18,2,"published",NA,NA,NA,"Hippopotamus,hippopotamus",NA,NA,"Hippopotamus",NA,"Hippopotamidae"
"9657","Lutra lutra","Lutra lutra","Carnivora","Mammalia","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,2,1,1,0,0,"tissue","species","Lutra lutra","Chromosome",149004807,30403456,32271,"2020-07-31",94.9,2880210000,19,2,"insdc_open","GCF_902655055.1-RS_2023_03",NA,NA,"Eurasian otter,Otter",NA,NA,"Lutra","Lutrinae","Mustelidae"
"9689","Panthera leo","Panthera leo","Carnivora","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,9,8,8,0,0,"blood","species","Panthera leo","Chromosome",147402474,77781637,32109,"2021-05-13",NA,2885100000,19,2,"insdc_open","100.0","PanLeo1.0","GCA_008795835.1","Lion,African lion",NA,NA,"Panthera","Pantherinae","Felidae"
"9690","Panthera onca","Panthera onca","Carnivora","Mammalia","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,4,4,4,0,0,"Tissue","species","Panthera onca","Chromosome",132627732,51083,NA,"2023-02-09",NA,2767740000,19,2,"published",NA,NA,NA,"Jaguar,jaguar",NA,NA,"Panthera","Pantherinae","Felidae"
"9612","Canis lupus","Canis lupus","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,4,4,4,0,0,"Tissue/Blood","species","Canis lupus","Chromosome",65778685,34375412,NA,"2023-04-03",95.5,2748180000,39,2,"insdc_open",NA,NA,NA,"Iberian Wolf,Timber wolf",NA,NA,"Canis",NA,"Canidae"
"210652","Mungos mungo","Mungos mungo","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Mungos mungo","Scaffold",236501,180702,NA,"2019-01-15",NA,2738400000,18,2,"published",NA,NA,NA,"Banded Mongoose,banded mongoose",NA,NA,"Mungos",NA,"Herpestidae"
"9642","Ursus thibetanus","Ursus thibetanus","Carnivora","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Ursus thibetanus","Scaffold",26803000,145966,NA,"2023-04-03",NA,2689500000,37,2,"insdc_open",NA,NA,NA,"Asiatic Black Bear,Asiatic black bear",NA,NA,"Ursus",NA,"Ursidae"
"161932","Otaria byronia","Otaria byronia","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,3,3,3,0,0,"Tissue","species","Otaria byronia","Scaffold",144693000,NA,NA,"2023-04-03",NA,3080700000,18,2,"open",NA,NA,NA,"South American Sea Lion,South American sea lion",NA,NA,"Otaria",NA,"Otariidae"
"9646","Ailuropoda melanoleuca","Ailuropoda melanoleuca","Carnivora","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,2,1,1,0,0,"Tissue","species","Ailuropoda melanoleuca","Chromosome",129245720,127687,31335,"2020-04-20",NA,2689500000,21,2,"insdc_open","103.0","ASM200744v2","GCA_002007445.2","Giant Panda,giant panda",NA,NA,"Ailuropoda",NA,"Ursidae"
"37032","Suricata suricatta","Suricata suricatta","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,6,6,6,0,0,"Tissue","species","Suricata suricatta","Chromosome",141453419,75409,35499,"2019-07-03",NA,2738400000,18,2,"published","100.0","meerkat_22Aug2017_6uvM2_HiC","GCA_006229205.1","Meerkat,meerkat",NA,NA,"Suricata",NA,"Herpestidae"
"9678","Crocuta crocuta","Crocuta crocuta","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Crocuta crocuta","Scaffold",7236831,97873,19698,"2019-10-07",93.5,2738400000,20,2,"insdc_open",NA,NA,NA,"Spotted hyena,spotted hyena",NA,NA,"Crocuta",NA,"Hyaenidae"
